Date,Open,High,Low,Close,Volume,Adj Close,
10/9/2008,95.29,95.31,88.23,89,21293600,80.33,
10/8/2008,91.51,97.48,89.98,90.55,17980400,81.73,
10/7/2008,101.5,102.62,94.24,95.65,11416100,86.34,
10/6/2008,101.21,103,96.6,100.62,11521400,90.82,
10/3/2008,105.16,110.95,103.03,103.44,9637900,93.37,
10/2/2008,108.48,109.97,103.04,104.74,11458200,94.54,
10/1/2008,115.51,116.8,107.75,110.13,13134400,99.41,
9/30/2008,115.83,116.96,111.81,116.96,18991900,105.57,
9/29/2008,117.44,118.43,109.95,114.46,9586700,103.31,
9/26/2008,117.21,121.01,117.01,119.42,4760500,107.79,
9/25/2008,117.75,121.99,116.12,120.11,6539200,108.41,
9/24/2008,116.93,118.17,114.26,116.46,6574100,105.12,
9/23/2008,116.21,118.17,114.14,115.36,8012800,104.13,
9/22/2008,118.45,120.14,116.02,116.21,8844000,104.89,
9/19/2008,119.59,124,117.5,118.85,14432600,107.28,
9/18/2008,112.91,118.59,111.04,115.12,15995000,103.91,
9/17/2008,114.79,115.5,110.61,111.47,12298000,100.62,
9/16/2008,113.73,117.64,113.32,116.05,13673200,104.75,
9/15/2008,115.36,118.41,115.19,115.19,9908300,103.97,
9/12/2008,118.66,119.28,116.82,118.97,6635100,107.39,
9/11/2008,116.6,119.37,116.11,119.2,9737400,107.59,
9/10/2008,116.4,119.95,116.1,118.04,11852200,106.55,
9/9/2008,117.78,118.1,115,115.04,8106300,103.84,
9/8/2008,118,118.28,115.14,117.29,10452800,105.87,
9/5/2008,114.15,115.09,113.17,114.33,8811400,103.2,
9/4/2008,117.99,118.9,114.9,115,10133800,103.8,
9/3/2008,118.34,118.65,115.15,118.34,11316600,106.82,
9/2/2008,122.87,124,117.9,118.41,11749800,106.88,
8/29/2008,123.71,123.99,121.63,121.73,7156000,109.88,
8/28/2008,124.06,125.45,123.58,124.58,5448200,112.45,
8/27/2008,122.42,124.85,122.18,123.38,5843800,111.37,
8/26/2008,122.58,122.85,121.5,122.5,6218200,110.57,
8/25/2008,124.48,124.93,122.7,122.86,5827400,110.9,
8/22/2008,123.3,125.35,122.8,124.93,5989200,112.77,
8/21/2008,121.58,123.43,121.55,122.99,6315000,111.01,
8/20/2008,123.5,123.97,122.01,122.51,6871600,110.58,
8/19/2008,123.63,124.79,122.01,122.56,9311600,110.63,
8/18/2008,126.49,127,123.68,124.59,5970000,112.46,
8/15/2008,127.07,127.19,125.35,126.36,5566200,114.06,
8/14/2008,125.01,128.25,124.8,126.94,6813000,114.58,
8/13/2008,125,126.99,124.75,125.8,5857800,113.55,
8/12/2008,126.01,126.5,124.4,125.22,6996800,113.03,
8/11/2008,128.43,128.43,125.75,126.6,7490400,114.27,
8/8/2008,128.5,129.88,127.63,128.81,8561800,116.27,
8/7/2008,128.3,129.97,127.9,129.05,6633500,116.48,
8/6/2008,128.45,129.5,127.75,129.16,6253800,116.58,
8/5/2008,128.2,128.9,127.08,128.87,6969900,115.87,
8/4/2008,126.77,128.1,126.25,127.56,5994900,114.69,
8/1/2008,128.52,129.3,126.28,126.64,4939700,113.87,
7/31/2008,128.1,129.5,127.74,127.98,5857300,115.07,
